Semantic_Similarity,Emotional_Alignment,Time_Closeness,Target_Intensity,Linked,Pair_Type,Category
0.8732221008515815,0.8155941199951471,0.9970089730807579,0.95,1,positive,causal
0.8130438983773305,0.813004094642039,0.9960159362549801,0.2,0,temporal_neg,causal
0.7963999728059783,0.7629538082726787,0.0055248618784530384,0.6,0,semantic_neg,causal
0.8384655568119161,0.8089253801048952,0.9950248756218907,0.9,1,positive,causal
0.7563076879369891,0.8129167348610897,0.9940357852882704,0.1,0,temporal_neg,causal
0.8499157614596884,0.813486582768651,0.006622516556291391,0.55,0,semantic_neg,causal
0.815176326572171,0.7699272064543432,0.7142857142857143,0.8,1,positive,causal
0.744674108995192,0.7675745266632947,0.7194244604316546,0.15,0,temporal_neg,causal
0.7644368113417761,0.790175736802009,0.008264462809917356,0.6,0,semantic_neg,causal
0.8278581345261039,0.7908341669327519,0.998003992015968,0.98,1,positive,causal
0.7465386622981823,0.7616824954095932,0.9990009990009991,0.05,0,temporal_neg,causal
0.8225652642937753,0.7396902208850267,0.006211180124223602,0.4,0,semantic_neg,causal
0.8096669905752517,0.7526256379923904,0.6666666666666666,0.85,1,positive,causal
0.7942894066729378,0.7701323314139424,0.6711409395973155,0.1,0,temporal_neg,causal
0.8009824125687237,0.7839968358138764,0.0055248618784530384,0.65,0,semantic_neg,causal
0.8997965868249627,0.8247944399062455,0.9970089730807579,0.8,1,positive,causal
0.7443720020214205,0.7621211241152208,0.998003992015968,0.3,0,temporal_neg,causal
0.8199345277174079,0.8142334073930221,0.0055248618784530384,0.5,0,semantic_neg,causal
0.8684676232648074,0.878080091933743,0.9960159362549801,0.75,1,positive,causal
0.7827436129482338,0.7947496104007425,0.9950248756218907,0.1,0,temporal_neg,causal
0.8209949375156751,0.8337030529454883,0.006622516556291391,0.4,0,semantic_neg,causal
0.8412308036961289,0.8242286917338562,0.9990009990009991,1.0,1,positive,causal
0.7763059833286736,0.787374416582546,0.9980039920159682,0.4,0,temporal_neg,causal
0.8354769583979025,0.698684069190785,0.00847457627118644,0.6,0,semantic_neg,causal
0.9139041186920966,0.844481610521588,0.9950248756218907,0.8,1,positive,causal
0.7377086268583883,0.7558560226635841,0.9970089730807576,0.1,0,temporal_neg,causal
0.8478604538815313,0.8160532622237804,0.005747126436781609,0.7,0,semantic_neg,causal
0.9039246617009211,0.8261269383826342,0.9990009990009991,0.85,1,positive,causal
0.7415691132281774,0.8763421344945161,0.998003992015968,0.2,0,temporal_neg,causal
0.826308482938176,0.7730762018844048,0.006644518272425249,0.5,0,semantic_neg,causal
0.8231359698377747,0.7877869117973884,0.9970089730807579,0.95,1,positive,causal
0.7754293313589514,0.7902091287908455,0.9960159362549801,0.2,0,temporal_neg,causal
0.782799915184631,0.7643071962247341,0.006622516556291391,0.7,0,semantic_neg,causal
0.8687351114051642,0.7762446368718352,0.9803921568627451,0.9,1,positive,causal
0.7517884286667249,0.791965036946919,0.9794319294809012,0.1,0,temporal_neg,causal
0.8236558003749148,0.8098755224462555,0.0055248618784530384,0.8,0,semantic_neg,causal
0.8059762331445106,0.7762600950330802,0.9950248756218907,0.85,1,positive,causal
0.7546887732696175,0.731100386681784,0.9940357852882704,0.05,0,temporal_neg,causal
0.8379029883994309,0.7350024828288878,0.008264462809917356,0.6,0,semantic_neg,causal
0.8217894117315101,0.7244633640429734,0.9615384615384615,0.8,1,positive,causal
0.6858171982762127,0.7405304445508081,0.9606147934678195,0.15,0,temporal_neg,causal
0.7925902899003149,0.7313525086954362,0.006211180124223602,0.7,0,semantic_neg,causal
0.8687458959609036,0.7556667310244725,0.6666666666666666,0.92,1,positive,causal
0.7258223548759151,0.7738113596505084,0.6662225183211193,0.1,0,temporal_neg,causal
0.8386438072107767,0.7768264025182549,0.007352941176470588,0.78,0,semantic_neg,causal
0.8956706145711741,0.8096613141463876,0.9970089730807579,0.9,1,positive,causal
0.7590056584936273,0.7631973638412958,0.9960159362549801,0.4,0,temporal_neg,causal
0.8622358846180246,0.8095535939966843,0.00641025641025641,0.6,0,semantic_neg,causal
0.9104228142199449,0.8103294449841949,0.4,0.8,1,positive,causal
0.7598482802556783,0.7144701600259791,0.37037037037037035,0.5,0,temporal_neg,causal
0.8921661410136736,0.8493689812090895,0.007633587786259542,0.5,0,semantic_neg,causal
0.9076867705403,0.7810820276446052,0.9990009990009991,0.85,1,positive,causal
0.7888500931169731,0.7431255320414726,0.998003992015968,0.3,0,temporal_neg,causal
0.8475800849426818,0.799806662499628,0.0055248618784530384,0.75,0,semantic_neg,causal
0.875217117921127,0.832567735707932,0.6666666666666666,0.8,1,positive,causal
0.8165288683825047,0.8020776612143011,0.6896551724137931,0.4,0,temporal_neg,causal
0.8878817041184102,0.8890336045506815,0.006211180124223602,0.5,0,semantic_neg,causal
0.8802111526628277,0.7537337299300635,0.9950248756218907,0.95,1,positive,causal
0.7907546847702394,0.8023962009781769,0.9960159362549801,0.3,0,temporal_neg,causal
0.8977834020516305,0.8017026704032639,0.008264462809917356,0.6,0,semantic_neg,causal
0.8501927548070096,0.8247630400266738,0.9970089730807579,0.9,1,positive,causal
0.749228058989602,0.7889376463861965,0.998003992015968,0.3,0,temporal_neg,causal
0.8861612671859553,0.8575580076088534,0.006622516556291391,0.7,0,semantic_neg,causal
0.8203593553299805,0.8075017468628907,0.7142857142857143,0.75,1,positive,causal
0.7944681176204014,0.7707876663940989,0.7246376811594204,0.5,0,temporal_neg,causal
0.8603655065511492,0.8019358328215251,0.007936507936507936,0.6,0,semantic_neg,causal
0.8376662888218138,0.824263887134426,0.9960159362549801,0.9,1,positive,causal
0.8037641986937099,0.7745319245773008,0.9950248756218907,0.4,0,temporal_neg,causal
0.81892970357673,0.794061744013687,0.0055248618784530384,0.6,0,semantic_neg,causal
0.830581426914327,0.8352901580005021,0.25,0.8,1,positive,causal
0.7706880532002359,0.7861445036733951,0.24390243902439027,0.2,0,temporal_neg,causal
0.8586572075988045,0.8221181622800525,0.007633587786259542,0.8,0,semantic_neg,causal
0.8891146504560987,0.7951462988285394,0.5,0.7,1,positive,causal
0.7885304612736648,0.7800526673578194,0.48780487804878053,0.4,0,temporal_neg,causal
0.8919989180615909,0.8674765506385256,0.006211180124223602,0.75,0,semantic_neg,causal
0.8841657462723039,0.7929555058392928,0.9970089730807579,0.7,1,positive,causal
0.7319102165160001,0.8139026827167533,0.998003992015968,0.4,0,temporal_neg,causal
0.8279076362710706,0.8456097440476895,0.006622516556291391,0.8,0,semantic_neg,causal
0.8007488714265665,0.7840929285537572,0.9950248756218907,0.9,1,positive,causal
0.816308658441809,0.7797552519552864,0.9960159362549801,0.3,0,temporal_neg,causal
0.8673253415807539,0.8203409336118699,0.007633587786259542,0.6,0,semantic_neg,causal
0.8092078120718262,0.7397282242944924,0.9615384615384615,0.8,1,positive,causal
0.7390340846805319,0.7764706154243726,0.9606147934678195,0.3,0,temporal_neg,causal
0.7923456501312819,0.7806329129176738,0.006211180124223602,0.5,0,semantic_neg,causal
0.7995194781424666,0.7821173453724125,0.5,0.9,1,positive,causal
0.7297729192263154,0.764117460780199,0.49751243781094534,0.4,0,temporal_neg,causal
0.8056927516815698,0.7363874375472418,0.0055248618784530384,0.8,0,semantic_neg,causal
0.834321986550451,0.7926365310955477,0.125,1.0,1,positive,causal
0.7649780179908237,0.8173648516524175,0.12498437695288087,0.7,0,temporal_neg,causal
0.7990108662337443,0.8136664320782223,0.008264462809917356,0.7,0,semantic_neg,causal
0.890077181401252,0.7696634893433613,0.125,0.85,1,positive,causal
0.7762937241955533,0.8006077855441416,0.12531328320802004,0.3,0,temporal_neg,causal
0.8024983168567039,0.7775075415267645,0.006622516556291391,0.4,0,semantic_neg,causal
0.9036278232663921,0.8533567111468026,0.9950248756218907,0.9,1,positive,causal
0.7597688681512152,0.7883338217567311,0.9960159362549801,0.2,0,temporal_neg,causal
0.8405069647843332,0.8204509633066809,0.007352941176470588,0.5,0,semantic_neg,causal
0.8655906021998203,0.8330733429337562,0.4,0.88,1,positive,causal
0.8059581110164195,0.793487425900012,0.40322580645161293,0.5,0,temporal_neg,causal
0.8398920482520327,0.7882500872061375,0.0055248618784530384,0.3,0,semantic_neg,causal
0.8622035582013766,0.7698856100564265,0.9615384615384615,0.92,1,positive,causal
0.7756366975224328,0.8099429363699076,0.9624639076034649,0.25,0,temporal_neg,causal
0.8356493506515656,0.7620730020978352,0.008264462809917356,0.6,0,semantic_neg,causal
